seed,fold,model,arm,condition,client,n,accuracy,f1,auroc
0,4,LR,arm2,1.0,2,54,0.6852,0.6383,0.7527
0,4,LR,arm2,1.0,3,26,0.6538,0.6667,0.8242
0,4,LR,arm2,0.5,global,184,0.7609,0.7885,0.814
0,4,LR,arm2,0.5,0,59,0.7797,0.6486,0.8348
0,4,LR,arm2,0.5,1,74,0.7973,0.8819,0.9343
0,4,LR,arm2,0.5,2,34,0.7353,0.7273,0.8107
0,4,LR,arm2,0.5,3,17,0.5882,0.3636,0.7333
0,4,LR,arm2,0.1,global,184,0.7446,0.7685,0.8137
0,4,LR,arm2,0.1,0,60,0.7667,0.0,nan
0,4,LR,arm2,0.1,1,102,0.7647,0.8667,nan
0,4,LR,arm2,0.1,2,13,0.6923,0.0,nan
0,4,LR,arm2,0.1,3,9,0.4444,0.0,nan
0,4,LR,arm2,natural,global,184,0.7391,0.7624,0.8141
0,4,LR,arm2,natural,0,63,0.7778,0.6957,0.812
0,4,LR,arm2,natural,1,50,0.68,0.68,0.8062
0,4,LR,arm2,natural,2,28,0.7143,0.8182,0.7467
0,4,LR,arm2,natural,3,43,0.7674,0.8387,0.8091
0,4,MLP,arm1,,global,184,0.7935,0.8155,0.844
0,4,MLP,arm1,100,0,36,0.8611,0.8718,0.9079
0,4,MLP,arm1,100,1,44,0.7955,0.8302,0.8526
0,4,MLP,arm1,100,2,55,0.7818,0.8,0.8355
0,4,MLP,arm1,100,3,49,0.7551,0.7778,0.7943
