seed,fold,model,arm,condition,client,n,accuracy,f1,auroc
1,2,VQC,arm4,0.5,2,55,0.7273,0.6154,0.7925
1,2,VQC,arm4,0.5,3,48,0.7292,0.8434,nan
1,3,VQC,arm4,0.5,global,184,0.7228,0.756,0.8097
1,3,VQC,arm4,0.5,0,39,0.8718,0.8718,0.8974
1,3,VQC,arm4,0.5,1,40,0.575,0.6047,0.6892
1,3,VQC,arm4,0.5,2,58,0.7069,0.6222,0.9253
1,3,VQC,arm4,0.5,3,47,0.7447,0.8537,nan
1,4,VQC,arm4,0.5,global,184,0.8043,0.8269,0.8785
1,4,VQC,arm4,0.5,0,31,0.7097,0.7097,0.8887
1,4,VQC,arm4,0.5,1,46,0.8696,0.88,0.8996
1,4,VQC,arm4,0.5,2,55,0.7636,0.6061,0.8361
1,4,VQC,arm4,0.5,3,52,0.8462,0.9149,0.9608
2,0,VQC,arm4,0.5,global,184,0.7174,0.7615,0.8123
2,0,VQC,arm4,0.5,0,33,0.7273,0.0,nan
2,0,VQC,arm4,0.5,1,65,0.5385,0.5,0.6718
2,0,VQC,arm4,0.5,2,46,0.8043,0.8916,nan
2,0,VQC,arm4,0.5,3,40,0.9,0.9394,0.8961
2,1,VQC,arm4,0.5,global,184,0.75,0.785,0.8316
2,1,VQC,arm4,0.5,0,30,0.7333,0.0,nan
2,1,VQC,arm4,0.5,1,67,0.7313,0.6897,0.8187
2,1,VQC,arm4,0.5,2,47,0.766,0.8642,0.8106
2,1,VQC,arm4,0.5,3,40,0.775,0.8657,0.8686
2,2,VQC,arm4,0.5,global,184,0.7065,0.7379,0.77
2,2,VQC,arm4,0.5,0,29,0.5862,0.0,nan
2,2,VQC,arm4,0.5,1,72,0.7083,0.6866,0.7798
2,2,VQC,arm4,0.5,2,42,0.7381,0.8493,nan
2,2,VQC,arm4,0.5,3,41,0.7561,0.8148,0.8091
2,3,VQC,arm4,0.5,global,184,0.7174,0.757,0.8175
2,3,VQC,arm4,0.5,0,32,0.6875,0.1667,0.9677
2,3,VQC,arm4,0.5,1,75,0.64,0.64,0.7749
2,3,VQC,arm4,0.5,2,43,0.7907,0.88,1.0
2,3,VQC,arm4,0.5,3,34,0.8235,0.8846,0.881
2,4,VQC,arm4,0.5,global,184,0.7228,0.7512,0.7667
2,4,VQC,arm4,0.5,0,37,0.7027,0.0,0.2222
2,4,VQC,arm4,0.5,1,66,0.697,0.6667,0.7626
2,4,VQC,arm4,0.5,2,43,0.814,0.8974,nan
2,4,VQC,arm4,0.5,3,38,0.6842,0.7857,0.5853
3,0,VQC,arm4,0.5,global,184,0.6793,0.7256,0.759
3,0,VQC,arm4,0.5,0,40,0.725,0.8406,nan
3,0,VQC,arm4,0.5,1,33,0.5758,0.4615,0.8395
3,0,VQC,arm4,0.5,2,53,0.717,0.717,0.8471
3,0,VQC,arm4,0.5,3,58,0.6724,0.7164,0.7119
3,1,VQC,arm4,0.5,global,184,0.6304,0.6937,0.712
3,1,VQC,arm4,0.5,0,36,0.7222,0.8387,nan
3,1,VQC,arm4,0.5,1,38,0.4474,0.16,0.7714
3,1,VQC,arm4,0.5,2,46,0.6957,0.7407,0.72
3,1,VQC,arm4,0.5,3,64,0.6406,0.716,0.6781
3,2,VQC,arm4,0.5,global,184,0.6739,0.7248,0.7299
3,2,VQC,arm4,0.5,0,39,0.7436,0.8529,nan
3,2,VQC,arm4,0.5,1,32,0.5312,0.1176,0.6322
3,2,VQC,arm4,0.5,2,46,0.5652,0.6296,0.6297
3,2,VQC,arm4,0.5,3,67,0.7761,0.8101,0.8503
3,3,VQC,arm4,0.5,global,184,0.7283,0.7706,0.7798
3,3,VQC,arm4,0.5,0,40,0.775,0.8732,nan
3,3,VQC,arm4,0.5,1,31,0.6452,0.4762,0.8308
