seed,fold,model,condition,round,mean_pairwise_l2
5,1,weak-MLP,1.0,0,0.229767
5,1,weak-MLP,1.0,1,0.23447
5,1,weak-MLP,1.0,2,0.239766
5,1,weak-MLP,1.0,3,0.246007
5,1,weak-MLP,0.5,0,0.385348
5,1,weak-MLP,0.5,1,0.392988
5,1,weak-MLP,0.5,2,0.401479
5,1,weak-MLP,0.5,3,0.411289
5,1,weak-MLP,0.1,0,0.376604
5,1,weak-MLP,0.1,1,0.383246
5,1,weak-MLP,0.1,2,0.390678
5,1,weak-MLP,0.1,3,0.399382
5,1,weak-MLP,natural,0,0.204293
5,1,weak-MLP,natural,1,0.205758
5,1,weak-MLP,natural,2,0.207598
5,1,weak-MLP,natural,3,0.209986
5,2,weak-MLP,100,0,0.020435
5,2,weak-MLP,100,1,0.021857
5,2,weak-MLP,100,2,0.02345
5,2,weak-MLP,100,3,0.025182
5,2,weak-MLP,1.0,0,0.237986
5,2,weak-MLP,1.0,1,0.243311
5,2,weak-MLP,1.0,2,0.249717
5,2,weak-MLP,1.0,3,0.257817
5,2,weak-MLP,0.5,0,0.384216
5,2,weak-MLP,0.5,1,0.392858
5,2,weak-MLP,0.5,2,0.403074
5,2,weak-MLP,0.5,3,0.415735
5,2,weak-MLP,0.1,0,0.365536
5,2,weak-MLP,0.1,1,0.37337
5,2,weak-MLP,0.1,2,0.382559
5,2,weak-MLP,0.1,3,0.393919
5,2,weak-MLP,natural,0,0.194921
5,2,weak-MLP,natural,1,0.196801
5,2,weak-MLP,natural,2,0.199351
5,2,weak-MLP,natural,3,0.202857
5,3,weak-MLP,100,0,0.016957
5,3,weak-MLP,100,1,0.018099
5,3,weak-MLP,100,2,0.01926
5,3,weak-MLP,100,3,0.020459
5,3,weak-MLP,1.0,0,0.230434
5,3,weak-MLP,1.0,1,0.235735
5,3,weak-MLP,1.0,2,0.241645
5,3,weak-MLP,1.0,3,0.248578
5,3,weak-MLP,0.5,0,0.377606
5,3,weak-MLP,0.5,1,0.386022
5,3,weak-MLP,0.5,2,0.395414
5,3,weak-MLP,0.5,3,0.406398
5,3,weak-MLP,0.1,0,0.35946
5,3,weak-MLP,0.1,1,0.367638
5,3,weak-MLP,0.1,2,0.376627
5,3,weak-MLP,0.1,3,0.38701
5,3,weak-MLP,natural,0,0.185222
5,3,weak-MLP,natural,1,0.186721
5,3,weak-MLP,natural,2,0.18863
5,3,weak-MLP,natural,3,0.191124
5,4,weak-MLP,100,0,0.014528
5,4,weak-MLP,100,1,0.01569
5,4,weak-MLP,100,2,0.016897
5,4,weak-MLP,100,3,0.018232
5,4,weak-MLP,1.0,0,0.236364
5,4,weak-MLP,1.0,1,0.241929
5,4,weak-MLP,1.0,2,0.248596
5,4,weak-MLP,1.0,3,0.256924
5,4,weak-MLP,0.5,0,0.380258
5,4,weak-MLP,0.5,1,0.388045
5,4,weak-MLP,0.5,2,0.397409
